id,asset,year,rep_period,time_block_start,time_block_end,dual_minimum_up_time
425,NL_Coal,2030,7,1,6,0.0
426,NL_Coal,2030,7,7,12,0.0
427,NL_Coal,2030,7,13,18,0.0
428,NL_Coal,2030,7,19,24,0.0
429,NL_Coal,2030,8,1,6,0.0
430,NL_Coal,2030,8,7,12,0.0
431,NL_Coal,2030,8,13,18,0.0
432,NL_Coal,2030,8,19,24,0.0
433,NL_Coal,2030,9,1,6,0.0
434,NL_Coal,2030,9,7,12,0.0
435,NL_Coal,2030,9,13,18,0.0
436,NL_Coal,2030,9,19,24,0.0
437,NL_Coal,2030,10,1,6,0.0
438,NL_Coal,2030,10,7,12,0.0
439,NL_Coal,2030,10,13,18,0.0
440,NL_Coal,2030,10,19,24,0.0
441,NL_Nuclear,2030,1,1,6,0.0
442,NL_Nuclear,2030,1,7,12,0.0
443,NL_Nuclear,2030,1,13,18,0.0
444,NL_Nuclear,2030,1,19,24,0.0
445,NL_Nuclear,2030,2,1,6,0.0
446,NL_Nuclear,2030,2,7,12,0.0
447,NL_Nuclear,2030,2,13,18,0.0
448,NL_Nuclear,2030,2,19,24,0.0
449,NL_Nuclear,2030,3,1,6,0.0
450,NL_Nuclear,2030,3,7,12,0.0
451,NL_Nuclear,2030,3,13,18,0.0
452,NL_Nuclear,2030,3,19,24,0.0
453,NL_Nuclear,2030,4,1,6,0.0
454,NL_Nuclear,2030,4,7,12,0.0
455,NL_Nuclear,2030,4,13,18,0.0
456,NL_Nuclear,2030,4,19,24,0.0
457,NL_Nuclear,2030,5,1,6,0.0
458,NL_Nuclear,2030,5,7,12,0.0
459,NL_Nuclear,2030,5,13,18,0.0
460,NL_Nuclear,2030,5,19,24,0.0
461,NL_Nuclear,2030,6,1,6,0.0
462,NL_Nuclear,2030,6,7,12,0.0
463,NL_Nuclear,2030,6,13,18,0.0
464,NL_Nuclear,2030,6,19,24,0.0
465,NL_Nuclear,2030,7,1,6,0.0
466,NL_Nuclear,2030,7,7,12,0.0
467,NL_Nuclear,2030,7,13,18,0.0
468,NL_Nuclear,2030,7,19,24,0.0
469,NL_Nuclear,2030,8,1,6,0.0
470,NL_Nuclear,2030,8,7,12,0.0
471,NL_Nuclear,2030,8,13,18,0.0
472,NL_Nuclear,2030,8,19,24,0.0
473,NL_Nuclear,2030,9,1,6,0.0
474,NL_Nuclear,2030,9,7,12,0.0
475,NL_Nuclear,2030,9,13,18,0.0
476,NL_Nuclear,2030,9,19,24,0.0
477,NL_Nuclear,2030,10,1,6,0.0
478,NL_Nuclear,2030,10,7,12,0.0
479,NL_Nuclear,2030,10,13,18,0.0
480,NL_Nuclear,2030,10,19,24,0.0
481,UK_Coal,2030,1,1,6,0.0
482,UK_Coal,2030,1,7,12,0.0
483,UK_Coal,2030,1,13,18,0.0
484,UK_Coal,2030,1,19,24,0.0
485,UK_Coal,2030,2,1,6,0.0
486,UK_Coal,2030,2,7,12,0.0
487,UK_Coal,2030,2,13,18,0.0
488,UK_Coal,2030,2,19,24,0.0
489,UK_Coal,2030,3,1,6,0.0
490,UK_Coal,2030,3,7,12,0.0
491,UK_Coal,2030,3,13,18,0.0
492,UK_Coal,2030,3,19,24,0.0
493,UK_Coal,2030,4,1,6,0.0
494,UK_Coal,2030,4,7,12,0.0
495,UK_Coal,2030,4,13,18,0.0
496,UK_Coal,2030,4,19,24,0.0
497,UK_Coal,2030,5,1,6,0.0
498,UK_Coal,2030,5,7,12,0.0
499,UK_Coal,2030,5,13,18,0.0
500,UK_Coal,2030,5,19,24,0.0
501,UK_Coal,2030,6,1,6,0.0
502,UK_Coal,2030,6,7,12,0.0
503,UK_Coal,2030,6,13,18,0.0
504,UK_Coal,2030,6,19,24,0.0
505,UK_Coal,2030,7,1,6,0.0
506,UK_Coal,2030,7,7,12,0.0
507,UK_Coal,2030,7,13,18,0.0
508,UK_Coal,2030,7,19,24,0.0
509,UK_Coal,2030,8,1,6,0.0
510,UK_Coal,2030,8,7,12,0.0
511,UK_Coal,2030,8,13,18,0.0
512,UK_Coal,2030,8,19,24,0.0
513,UK_Coal,2030,9,1,6,0.0
514,UK_Coal,2030,9,7,12,0.0
515,UK_Coal,2030,9,13,18,0.0
516,UK_Coal,2030,9,19,24,0.0
517,UK_Coal,2030,10,1,6,0.0
518,UK_Coal,2030,10,7,12,0.0
519,UK_Coal,2030,10,13,18,0.0
520,UK_Coal,2030,10,19,24,0.0
521,UK_Nuclear,2030,1,1,6,0.0
522,UK_Nuclear,2030,1,7,12,0.0
523,UK_Nuclear,2030,1,13,18,0.0
524,UK_Nuclear,2030,1,19,24,0.0
525,UK_Nuclear,2030,2,1,6,0.0
526,UK_Nuclear,2030,2,7,12,0.0
527,UK_Nuclear,2030,2,13,18,0.0
528,UK_Nuclear,2030,2,19,24,0.0
529,UK_Nuclear,2030,3,1,6,0.0
530,UK_Nuclear,2030,3,7,12,0.0
531,UK_Nuclear,2030,3,13,18,0.0
532,UK_Nuclear,2030,3,19,24,0.0
533,UK_Nuclear,2030,4,1,6,0.0
534,UK_Nuclear,2030,4,7,12,0.0
535,UK_Nuclear,2030,4,13,18,0.0
536,UK_Nuclear,2030,4,19,24,0.0
537,UK_Nuclear,2030,5,1,6,0.0
538,UK_Nuclear,2030,5,7,12,0.0
539,UK_Nuclear,2030,5,13,18,0.0
540,UK_Nuclear,2030,5,19,24,0.0
541,UK_Nuclear,2030,6,1,6,0.0
542,UK_Nuclear,2030,6,7,12,0.0
543,UK_Nuclear,2030,6,13,18,0.0
544,UK_Nuclear,2030,6,19,24,0.0
545,UK_Nuclear,2030,7,1,6,0.0
546,UK_Nuclear,2030,7,7,12,0.0
547,UK_Nuclear,2030,7,13,18,0.0
548,UK_Nuclear,2030,7,19,24,0.0
549,UK_Nuclear,2030,8,1,6,0.0
550,UK_Nuclear,2030,8,7,12,0.0
551,UK_Nuclear,2030,8,13,18,0.0
552,UK_Nuclear,2030,8,19,24,0.0
553,UK_Nuclear,2030,9,1,6,0.0
554,UK_Nuclear,2030,9,7,12,0.0
555,UK_Nuclear,2030,9,13,18,0.0
556,UK_Nuclear,2030,9,19,24,0.0
557,UK_Nuclear,2030,10,1,6,0.0
558,UK_Nuclear,2030,10,7,12,0.0
559,UK_Nuclear,2030,10,13,18,0.0
560,UK_Nuclear,2030,10,19,24,0.0
