id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
279,FR_Balance,UK_Balance,2030,1,1.0,1.0,13,18,-1000.0
280,FR_Balance,UK_Balance,2030,1,1.0,1.0,19,24,-1000.0
281,FR_Balance,LU_Balance,2030,1,1.0,1.0,1,6,-1000.0
282,FR_Balance,LU_Balance,2030,1,1.0,1.0,7,12,-1000.0
283,FR_Balance,LU_Balance,2030,1,1.0,1.0,13,18,-1000.0
284,FR_Balance,LU_Balance,2030,1,1.0,1.0,19,24,-1000.0
285,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,1,6,11330.018870407119
286,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,7,12,13126.20489369076
287,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,13,18,13754.420665649843
288,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,19,24,12095.730728059823
289,NL_Solar,NL_Balance,2030,1,1.0,1.0,1,6,2.2017418578112897
290,NL_Solar,NL_Balance,2030,1,1.0,1.0,7,12,3148.0370159773574
291,NL_Solar,NL_Balance,2030,1,1.0,1.0,13,18,4982.819749537812
292,NL_Solar,NL_Balance,2030,1,1.0,1.0,19,24,340.7632717548678
293,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,1,6,6855.372445820213
294,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,7,12,4654.090229856952
295,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,13,18,4742.8702159125
296,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,19,24,7567.503674884758
297,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,1,6,0.0
298,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,7,12,0.0
299,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,13,18,0.0
300,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,19,24,0.0
301,FR_Balance,FR_E_Demand,2030,1,1.0,1.0,1,6,39697.13617056014
302,FR_Balance,FR_E_Demand,2030,1,1.0,1.0,7,12,47066.37043336181
