id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flow_with_basic_unit_commitment
546,FR_Coal,2030,7,7,12,0.0
547,FR_Coal,2030,7,13,18,0.0
548,FR_Coal,2030,7,19,24,0.0
549,FR_Coal,2030,8,1,6,0.0
550,FR_Coal,2030,8,7,12,0.0
551,FR_Coal,2030,8,13,18,0.0
552,FR_Coal,2030,8,19,24,0.0
553,FR_Coal,2030,9,1,6,0.0
554,FR_Coal,2030,9,7,12,0.0
555,FR_Coal,2030,9,13,18,0.0
556,FR_Coal,2030,9,19,24,0.0
557,FR_Coal,2030,10,1,6,0.0
558,FR_Coal,2030,10,7,12,0.0
559,FR_Coal,2030,10,13,18,0.0
560,FR_Coal,2030,10,19,24,0.0
561,FR_Nuclear,2030,1,1,6,0.0
562,FR_Nuclear,2030,1,7,12,0.0
563,FR_Nuclear,2030,1,13,18,0.0
564,FR_Nuclear,2030,1,19,24,0.0
565,FR_Nuclear,2030,2,1,6,0.0
566,FR_Nuclear,2030,2,7,12,0.0
567,FR_Nuclear,2030,2,13,18,0.0
568,FR_Nuclear,2030,2,19,24,0.0
569,FR_Nuclear,2030,3,1,6,0.0
570,FR_Nuclear,2030,3,7,12,0.0
571,FR_Nuclear,2030,3,13,18,0.0
572,FR_Nuclear,2030,3,19,24,0.0
573,FR_Nuclear,2030,4,1,6,0.0
574,FR_Nuclear,2030,4,7,12,0.0
575,FR_Nuclear,2030,4,13,18,0.0
576,FR_Nuclear,2030,4,19,24,0.0
577,FR_Nuclear,2030,5,1,6,0.0
578,FR_Nuclear,2030,5,7,12,0.0
579,FR_Nuclear,2030,5,13,18,0.0
580,FR_Nuclear,2030,5,19,24,0.0
581,FR_Nuclear,2030,6,1,6,0.0
582,FR_Nuclear,2030,6,7,12,0.0
583,FR_Nuclear,2030,6,13,18,0.0
584,FR_Nuclear,2030,6,19,24,0.0
585,FR_Nuclear,2030,7,1,6,0.0
586,FR_Nuclear,2030,7,7,12,0.0
587,FR_Nuclear,2030,7,13,18,0.0
588,FR_Nuclear,2030,7,19,24,0.0
589,FR_Nuclear,2030,8,1,6,0.0
590,FR_Nuclear,2030,8,7,12,0.0
591,FR_Nuclear,2030,8,13,18,0.0
